soc,occ_title,a_pct25_2021,a_pct25_2025,tot_emp_2025,nominal_chg,real_chg,arrow,note
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",36260,43310,8550,0.1944,0.0002,flat,
49-2097,Audiovisual Equipment Installers and Repairers,36490,44490,19780,0.2192,0.0210,flat,
49-2098,Security and Fire Alarm Systems Installers,38110,47820,86340,0.2548,0.0508,up,
49-3011,Aircraft Mechanics and Service Technicians,50330,62630,138090,0.2444,0.0421,up,
49-3021,Automotive Body and Related Repairers,37360,45750,149310,0.2246,0.0255,flat,
49-3022,Automotive Glass Installers and Repairers,31370,40110,20310,0.2786,0.0707,up,
49-3023,Automotive Service Technicians and Mechanics,35680,38900,704640,0.0902,-0.0870,down,
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,41600,50540,289960,0.2149,0.0174,flat,
49-3041,Farm Equipment Mechanics and Service Technicians,37280,46450,37870,0.2460,0.0434,up,
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",47020,56970,176600,0.2116,0.0146,flat,
49-3043,Rail Car Repairers,47200,54520,21350,0.1551,-0.0327,down,
49-3051,Motorboat Mechanics and Service Technicians,36730,46750,23220,0.2728,0.0658,up,
49-3052,Motorcycle Mechanics,30320,39550,13510,0.3044,0.0923,up,
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,30400,40670,36060,0.3378,0.1203,up,
49-3091,Bicycle Repairers,29120,36360,12170,0.2486,0.0456,up,
49-3092,Recreational Vehicle Service Technicians,36100,44920,17430,0.2443,0.0420,up,
49-3093,Tire Repairers and Changers,28260,34690,108410,0.2275,0.0279,flat,
49-9011,Mechanical Door Repairers,36820,46610,27120,0.2659,0.0601,up,
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",47840,54950,48240,0.1486,-0.0381,down,
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",38450,48360,409670,0.2577,0.0532,up,
49-9031,Home Appliance Repairers,34920,43780,32150,0.2537,0.0499,up,
49-9041,Industrial Machinery Mechanics,47260,55010,439640,0.1640,-0.0253,flat,
49-9043,"Maintenance Workers, Machinery",40540,48920,60020,0.2067,0.0105,flat,
49-9044,Millwrights,47540,56390,40330,0.1862,-0.0067,flat,
49-9045,"Refractory Materials Repairers, Except Brickmasons",46980,50050,1080,0.0653,-0.1079,down,small occupation (<5k employed)
49-9051,Electrical Power-Line Installers and Repairers,60480,67270,131070,0.1123,-0.0686,down,
49-9052,Telecommunications Line Installers and Repairers,43570,54310,97720,0.2465,0.0438,up,
49-9061,Camera and Photographic Equipment Repairers,32760,41630,1650,0.2708,0.0641,up,small occupation (<5k employed)
49-9062,Medical Equipment Repairers,38250,47470,65990,0.2410,0.0393,up,
49-9063,Musical Instrument Repairers and Tuners,29220,37670,5380,0.2892,0.0796,up,
49-9064,Watch and Clock Repairers,29300,47650,1310,0.6263,0.3618,up,"volatile: likely sampling artifact, consider suppressing; small occupation (<5k employed)"
49-9069,"Precision Instrument and Equipment Repairers, All Other",46650,51070,9400,0.0947,-0.0833,down,
49-9071,"Maintenance and Repair Workers, General",34270,40840,1529700,0.1917,-0.0021,flat,
49-9081,Wind Turbine Service Technicians,47040,58840,9980,0.2509,0.0475,up,
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",30300,39760,26410,0.3122,0.0988,up,
49-9092,Commercial Divers,47120,54810,3450,0.1632,-0.0259,flat,small occupation (<5k employed)
49-9094,Locksmiths and Safe Repairers,36590,43160,15040,0.1796,-0.0122,flat,
49-9095,Manufactured Building and Mobile Home Installers,29180,35800,3020,0.2269,0.0274,flat,small occupation (<5k employed)
49-9096,Riggers,37820,48210,22530,0.2747,0.0675,up,
49-9097,Signal and Track Switch Repairers,63360,79720,8720,0.2582,0.0536,up,
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",28990,34910,95580,0.2042,0.0084,flat,
49-9099,"Installation, Maintenance, and Repair Workers, All Other",34470,42170,176300,0.2234,0.0245,flat,
51-1011,First-Line Supervisors of Production and Operating Workers,48280,58630,673430,0.2144,0.0169,flat,
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",38870,58600,34020,0.5076,0.2625,up,"volatile: likely sampling artifact, consider suppressing"
51-2021,"Coil Winders, Tapers, and Finishers",33120,42050,12840,0.2696,0.0632,up,
51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",30120,38380,246970,0.2742,0.0670,up,
51-2031,Engine and Other Machine Assemblers,37610,45230,34000,0.2026,0.0071,flat,
51-2041,Structural Metal Fabricators and Fitters,37180,45610,52360,0.2267,0.0273,flat,
51-2051,Fiberglass Laminators and Fabricators,30660,39430,16170,0.2860,0.0769,up,
51-2061,Timing Device Assemblers and Adjusters,32120,29040,250,-0.0959,-0.2429,down,small occupation (<5k employed)
51-2090,Miscellaneous Assemblers and Fabricators,29710,37380,1405030,0.2582,0.0536,up,
51-3011,Bakers,27660,32660,236200,0.1808,-0.0112,flat,
51-3021,Butchers and Meat Cutters,29120,35510,136430,0.2194,0.0212,flat,
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",28470,35350,145700,0.2417,0.0398,up,
51-3023,Slaughterers and Meat Packers,29090,36150,69950,0.2427,0.0406,up,
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",29060,37540,20370,0.2918,0.0818,up,
51-3092,Food Batchmakers,29160,36350,174520,0.2466,0.0439,up,
51-3093,Food Cooking Machine Operators and Tenders,29470,36190,31250,0.2280,0.0284,flat,
51-3099,"Food Processing Workers, All Other",29210,36410,65000,0.2465,0.0438,up,
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",31900,40450,60840,0.2680,0.0618,up,
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",36750,42440,8930,0.1548,-0.0329,down,
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",37610,44020,25250,0.1704,-0.0199,flat,
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",30520,38870,171200,0.2736,0.0665,up,
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",33980,41710,4680,0.2275,0.0279,flat,small occupation (<5k employed)
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",30500,39390,67000,0.2915,0.0815,up,
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",36750,43250,16710,0.1769,-0.0145,flat,
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",37370,45210,12460,0.2098,0.0131,flat,
51-4041,Machinists,37770,47570,287050,0.2595,0.0547,up,
51-4051,Metal-Refining Furnace Operators and Tenders,37200,46080,16780,0.2387,0.0373,up,
51-4052,"Pourers and Casters, Metal",36750,45190,4560,0.2297,0.0297,flat,small occupation (<5k employed)
51-4061,"Model Makers, Metal and Plastic",43480,47360,2610,0.0892,-0.0879,down,small occupation (<5k employed)
51-4062,"Patternmakers, Metal and Plastic",37710,49070,1470,0.3012,0.0897,up,small occupation (<5k employed)
51-4071,Foundry Mold and Coremakers,30590,41870,12790,0.3687,0.1462,up,
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",29570,37270,150470,0.2604,0.0555,up,
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",30280,39420,124590,0.3018,0.0902,up,
51-4111,Tool and Die Makers,46720,51490,56930,0.1021,-0.0771,down,
51-4121,"Welders, Cutters, Solderers, and Brazers",37860,46790,416210,0.2359,0.0349,up,
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",36020,40560,31600,0.1260,-0.0571,down,
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",31890,40660,14000,0.2750,0.0677,up,
51-4192,"Layout Workers, Metal and Plastic",39460,50910,5970,0.2902,0.0804,up,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",30120,37260,32410,0.2371,0.0359,up,
51-4194,"Tool Grinders, Filers, and Sharpeners",34330,40800,5600,0.1885,-0.0048,flat,
51-4199,"Metal Workers and Plastic Workers, All Other",30070,39190,15900,0.3033,0.0914,up,
51-5111,Prepress Technicians and Workers,34180,40930,23840,0.1975,0.0028,flat,
51-5112,Printing Press Operators,30160,37390,144260,0.2397,0.0381,up,
51-5113,Print Binding and Finishing Workers,29610,36910,33180,0.2465,0.0439,up,
51-6011,Laundry and Dry-Cleaning Workers,23040,30360,198040,0.3177,0.1034,up,
51-6021,"Pressers, Textile, Garment, and Related Materials",23290,29870,26120,0.2825,0.0740,up,
51-6031,Sewing Machine Operators,26120,31960,104880,0.2236,0.0246,flat,
51-6041,Shoe and Leather Workers and Repairers,28350,31270,7450,0.1030,-0.0763,down,
51-6042,Shoe Machine Operators and Tenders,23440,29090,3280,0.2410,0.0392,up,small occupation (<5k employed)
51-6051,"Sewers, Hand",26330,33330,2190,0.2659,0.0600,up,small occupation (<5k employed)
51-6052,"Tailors, Dressmakers, and Custom Sewers",27900,35230,13920,0.2627,0.0574,up,
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,28350,35680,5310,0.2586,0.0539,up,
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",28350,34230,9000,0.2074,0.0111,flat,
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",29030,36390,13030,0.2535,0.0497,up,
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",29020,36420,22020,0.2550,0.0509,up,
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",30750,39360,12850,0.2800,0.0719,up,
51-6092,Fabric and Apparel Patternmakers,37630,42620,2950,0.1326,-0.0516,down,small occupation (<5k employed)
51-6093,Upholsterers,29750,37340,20140,0.2551,0.0510,up,
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",27520,34320,13530,0.2471,0.0443,up,
51-7011,Cabinetmakers and Bench Carpenters,30070,38830,77170,0.2913,0.0814,up,
51-7021,Furniture Finishers,29610,37670,14480,0.2722,0.0653,up,
51-7031,"Model Makers, Wood",46910,37660,280,-0.1972,-0.3277,down,"volatile: likely sampling artifact, consider suppressing; small occupation (<5k employed)"
51-7032,"Patternmakers, Wood",37710,41170,220,0.0918,-0.0858,down,small occupation (<5k employed)
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",29120,36510,40850,0.2538,0.0499,up,
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",29390,37100,61420,0.2623,0.0571,up,
51-7099,"Woodworkers, All Other",29120,36320,5490,0.2473,0.0445,up,
51-8011,Nuclear Power Reactor Operators,98390,109440,5150,0.1123,-0.0686,down,
51-8012,Power Distributors and Dispatchers,79270,90200,8520,0.1379,-0.0471,down,
51-8013,Power Plant Operators,62890,79690,29320,0.2671,0.0611,up,
51-8021,Stationary Engineers and Boiler Operators,49760,63160,28250,0.2693,0.0629,up,
51-8031,Water and Wastewater Treatment Plant and System Operators,37720,48040,128490,0.2736,0.0665,up,
51-8091,Chemical Plant and System Operators,48920,60330,16610,0.2332,0.0327,up,
51-8092,Gas Plant Operators,61410,76870,18030,0.2518,0.0482,up,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",64350,77510,33160,0.2045,0.0087,flat,
51-8099,"Plant and System Operators, All Other",38070,48900,14080,0.2845,0.0756,up,
51-9011,Chemical Equipment Operators and Tenders,37610,45970,139630,0.2223,0.0235,flat,
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",36750,44410,60100,0.2084,0.0119,flat,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",33240,40430,26000,0.2163,0.0185,flat,
51-9022,"Grinding and Polishing Workers, Hand",29750,37450,10510,0.2588,0.0541,up,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",34090,42850,94920,0.2570,0.0526,up,
51-9031,"Cutters and Trimmers, Hand",28100,34050,6060,0.2117,0.0147,flat,
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",31310,39440,44980,0.2597,0.0548,up,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",30280,38360,58770,0.2668,0.0609,up,
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",36070,41130,14280,0.1403,-0.0451,down,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",31540,39890,597370,0.2647,0.0591,up,
51-9071,Jewelers and Precious Stone and Metal Workers,35490,39520,22440,0.1136,-0.0675,down,
51-9081,Dental Laboratory Technicians,36160,40420,34410,0.1178,-0.0639,down,
51-9082,Medical Appliance Technicians,35940,42210,11280,0.1745,-0.0165,flat,
51-9083,Ophthalmic Laboratory Technicians,30010,36470,18660,0.2153,0.0177,flat,
51-9111,Packaging and Filling Machine Operators and Tenders,29250,36850,379060,0.2598,0.0550,up,
51-9123,"Painting, Coating, and Decorating Workers",30010,37030,7940,0.2339,0.0333,up,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",35430,40590,158740,0.1456,-0.0406,down,
51-9141,Semiconductor Processing Technicians,36100,45640,31460,0.2643,0.0587,up,
51-9151,Photographic Process Workers and Processing Machine Operators,29690,35170,4800,0.1846,-0.0080,flat,small occupation (<5k employed)
51-9161,Computer Numerically Controlled Tool Operators,37510,44930,169450,0.1978,0.0031,flat,
51-9162,Computer Numerically Controlled Tool Programmers,48160,58270,28500,0.2099,0.0132,flat,
51-9191,Adhesive Bonding Machine Operators and Tenders,29820,37220,11500,0.2482,0.0452,up,
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",29250,37310,14760,0.2756,0.0682,up,
51-9193,Cooling and Freezing Equipment Operators and Tenders,35150,36380,6900,0.0350,-0.1333,down,
51-9194,Etchers and Engravers,29460,37400,7750,0.2695,0.0631,up,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",30270,39280,33190,0.2977,0.0867,up,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",36390,44920,96130,0.2344,0.0337,up,
51-9197,Tire Builders,37630,47900,20770,0.2729,0.0659,up,
51-9198,Helpers--Production Workers,28260,35220,165700,0.2463,0.0436,up,
51-9199,"Production Workers, All Other",28840,36030,251700,0.2493,0.0462,up,
53-1041,Aircraft Cargo Handling Supervisors,48180,49820,9760,0.0340,-0.1341,down,
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",42640,50070,623640,0.1742,-0.0167,flat,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",126470,182280,103560,0.4413,0.2069,up,
53-2012,Commercial Pilots,75370,84540,47630,0.1217,-0.0607,down,
53-2021,Air Traffic Controllers,90330,104520,22510,0.1571,-0.0311,down,
53-2022,Airfield Operations Specialists,37990,42000,15190,0.1056,-0.0742,down,
53-2031,Flight Attendants,48780,51760,131650,0.0611,-0.1114,down,
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",24320,30750,12630,0.2644,0.0588,up,
53-3031,Driver/Sales Workers,22570,30200,409180,0.3381,0.1205,up,
53-3032,Heavy and Tractor-Trailer Truck Drivers,38570,47960,2062040,0.2435,0.0413,up,
53-3033,Light Truck Drivers,30350,37270,983300,0.2280,0.0283,flat,
53-3051,"Bus Drivers, School",29490,38650,402930,0.3106,0.0975,up,
53-3052,"Bus Drivers, Transit and Intercity",38080,47530,159240,0.2482,0.0452,up,
53-3053,Shuttle Drivers and Chauffeurs,26420,32710,248530,0.2381,0.0368,up,
53-3054,Taxi Drivers,23950,37790,41050,0.5779,0.3213,up,"volatile: likely sampling artifact, consider suppressing"
53-3099,"Motor Vehicle Operators, All Other",24710,31220,46880,0.2635,0.0580,up,
53-4011,Locomotive Engineers,62410,75190,33470,0.2048,0.0089,flat,
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",47350,52780,3920,0.1147,-0.0666,down,small occupation (<5k employed)
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",60620,57820,12400,-0.0462,-0.2013,down,
53-4031,Railroad Conductors and Yardmasters,61220,65610,46440,0.0717,-0.1026,down,
53-4041,Subway and Streetcar Operators,61000,61980,10200,0.0161,-0.1491,down,
53-4099,"Rail Transportation Workers, All Other",38400,47570,1120,0.2388,0.0374,up,small occupation (<5k employed)
53-5011,Sailors and Marine Oilers,35380,41430,31670,0.1710,-0.0194,flat,
53-5021,"Captains, Mates, and Pilots of Water Vessels",59400,63880,36850,0.0754,-0.0994,down,
53-5022,Motorboat Operators,32620,42760,2480,0.3109,0.0977,up,small occupation (<5k employed)
53-5031,Ship Engineers,64330,82130,8400,0.2767,0.0691,up,
53-6011,Bridge and Lock Tenders,28690,38640,3040,0.3468,0.1278,up,small occupation (<5k employed)
53-6021,Parking Attendants,23410,29960,137880,0.2798,0.0717,up,
53-6031,Automotive and Watercraft Service Attendants,24960,31300,102010,0.2540,0.0501,up,
53-6032,Aircraft Service Attendants,29990,35740,31300,0.1917,-0.0020,flat,
53-6041,Traffic Technicians,38500,46440,7860,0.2062,0.0101,flat,
53-6051,Transportation Inspectors,50780,58780,24500,0.1575,-0.0307,down,
53-6061,Passenger Attendants,29210,31240,27110,0.0695,-0.1044,down,
53-6099,"Transportation Workers, All Other",29520,38240,13550,0.2954,0.0848,up,
53-7011,Conveyor Operators and Tenders,29650,38180,22930,0.2877,0.0783,up,
53-7021,Crane and Tower Operators,48140,52600,42890,0.0926,-0.0850,down,
53-7031,Dredge Operators,38250,46430,1040,0.2139,0.0165,flat,small occupation (<5k employed)
53-7041,Hoist and Winch Operators,37820,42690,2600,0.1288,-0.0548,down,small occupation (<5k employed)
53-7051,Industrial Truck and Tractor Operators,36000,40030,774420,0.1119,-0.0689,down,
53-7061,Cleaners of Vehicles and Equipment,24180,30420,380430,0.2581,0.0535,up,
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",29240,36090,2950280,0.2343,0.0336,up,
53-7063,Machine Feeders and Offbearers,29920,36420,42330,0.2172,0.0193,flat,
53-7064,"Packers and Packagers, Hand",26090,32220,559820,0.2350,0.0342,up,
53-7065,Stockers and Order Fillers,28350,34450,2833810,0.2152,0.0176,flat,
53-7071,Gas Compressor and Gas Pumping Station Operators,49400,58580,3510,0.1858,-0.0070,flat,small occupation (<5k employed)
53-7072,"Pump Operators, Except Wellhead Pumpers",38830,47560,9780,0.2248,0.0257,flat,
53-7073,Wellhead Pumpers,49790,52330,17990,0.0510,-0.1199,down,
53-7081,Refuse and Recyclable Material Collectors,30270,39080,147240,0.2910,0.0811,up,
53-7121,"Tank Car, Truck, and Ship Loaders",38570,46300,10700,0.2004,0.0052,flat,
53-7199,"Material Moving Workers, All Other",29960,36600,23480,0.2216,0.0230,flat,
