soc,occ_title,a_pct25_2021,a_pct25_2025,tot_emp_2025,nominal_chg,real_chg,arrow,note
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,47680,59780,15520,0.2538,0.0499,up,
17-3025,Environmental Engineering Technologists and Technicians,37850,48200,12190,0.2734,0.0664,up,
17-3026,Industrial Engineering Technologists and Technicians,47410,55760,75570,0.1761,-0.0151,flat,
17-3027,Mechanical Engineering Technologists and Technicians,47700,59510,36190,0.2476,0.0447,up,
17-3028,Calibration Technologists and Technicians,47110,56380,16540,0.1968,0.0022,flat,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",47690,60390,59930,0.2663,0.0604,up,
17-3031,Surveying and Mapping Technicians,36960,45430,58010,0.2292,0.0293,flat,
19-1011,Animal Scientists,52430,49770,3100,-0.0507,-0.2051,down,small occupation (<5k employed)
19-1012,Food Scientists and Technologists,60130,68810,13060,0.1444,-0.0417,down,
19-1013,Soil and Plant Scientists,50230,61660,15730,0.2276,0.0280,flat,
19-1021,Biochemists and Biophysicists,79000,95000,33830,0.2025,0.0070,flat,
19-1022,Microbiologists,59860,67100,18940,0.1209,-0.0613,down,
19-1023,Zoologists and Wildlife Biologists,50520,61180,18120,0.2110,0.0141,flat,
19-1029,"Biological Scientists, All Other",62490,76800,55850,0.2290,0.0292,flat,
19-1031,Conservation Scientists,49340,57700,25950,0.1694,-0.0207,flat,
19-1032,Foresters,50510,62710,10430,0.2415,0.0397,up,
19-1041,Epidemiologists,62350,71090,12090,0.1402,-0.0452,down,
19-1042,"Medical Scientists, Except Epidemiologists",62800,79840,172340,0.2713,0.0646,up,
19-1099,"Life Scientists, All Other",61830,68990,7460,0.1158,-0.0656,down,
19-2011,Astronomers,80110,99920,2120,0.2473,0.0445,up,small occupation (<5k employed)
19-2012,Physicists,107030,111720,20430,0.0438,-0.1259,down,
19-2021,Atmospheric and Space Scientists,65110,73350,10000,0.1266,-0.0566,down,
19-2031,Chemists,61540,69460,82770,0.1287,-0.0548,down,
19-2032,Materials Scientists,77500,89990,8470,0.1612,-0.0276,flat,
19-2041,"Environmental Scientists and Specialists, Including Health",58200,64490,89250,0.1081,-0.0721,down,
19-2042,"Geoscientists, Except Hydrologists and Geographers",62540,75110,23470,0.2010,0.0057,flat,
19-2043,Hydrologists,64670,77210,5850,0.1939,-0.0002,flat,
19-2099,"Physical Scientists, All Other",78320,86620,22300,0.1060,-0.0739,down,
19-3011,Economists,79760,89330,17790,0.1200,-0.0621,down,
19-3022,Survey Researchers,38840,51270,8290,0.3200,0.1054,up,
19-3032,Industrial-Organizational Psychologists,79590,107310,790,0.3483,0.1291,up,small occupation (<5k employed)
19-3033,Clinical and Counseling Psychologists,62040,73210,75990,0.1800,-0.0118,flat,
19-3034,School Psychologists,62070,77470,63940,0.2481,0.0452,up,
19-3039,"Psychologists, All Other",73910,68850,18820,-0.0685,-0.2199,down,
19-3041,Sociologists,65530,82300,2260,0.2559,0.0517,up,small occupation (<5k employed)
19-3051,Urban and Regional Planners,61880,72020,44230,0.1639,-0.0254,flat,
19-3091,Anthropologists and Archeologists,48420,59400,8990,0.2268,0.0273,flat,
19-3092,Geographers,64740,80290,1400,0.2402,0.0385,up,small occupation (<5k employed)
19-3093,Historians,48440,57290,3450,0.1827,-0.0096,flat,small occupation (<5k employed)
19-3094,Political Scientists,82450,114030,5540,0.3830,0.1581,up,
19-3099,"Social Scientists and Related Workers, All Other",66210,80860,37100,0.2213,0.0227,flat,
19-4012,Agricultural Technicians,32160,40950,15130,0.2733,0.0663,up,
19-4013,Food Science Technicians,37650,46020,14600,0.2223,0.0236,flat,
19-4021,Biological Technicians,37820,48130,69620,0.2726,0.0657,up,
19-4031,Chemical Technicians,38740,48530,57540,0.2527,0.0490,up,
19-4042,"Environmental Science and Protection Technicians, Including Health",37210,45820,34670,0.2314,0.0312,up,
19-4043,"Geological Technicians, Except Hydrologic Technicians",38620,44850,6980,0.1613,-0.0275,flat,
19-4044,Hydrologic Technicians,46410,52040,2840,0.1213,-0.0610,down,small occupation (<5k employed)
19-4051,Nuclear Technicians,78810,99110,6470,0.2576,0.0531,up,
19-4061,Social Science Research Assistants,44800,48620,30640,0.0853,-0.0912,down,
19-4071,Forest and Conservation Technicians,32260,47360,30410,0.4681,0.2294,up,
19-4092,Forensic Science Technicians,47750,57830,19120,0.2111,0.0142,flat,
19-4099,"Life, Physical, and Social Science Technicians, All Other",37830,48030,73910,0.2696,0.0632,up,
19-5011,Occupational Health and Safety Specialists,59490,69560,140610,0.1693,-0.0209,flat,
19-5012,Occupational Health and Safety Technicians,38840,52470,30590,0.3509,0.1313,up,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",47390,51270,353310,0.0819,-0.0940,down,
21-1013,Marriage and Family Therapists,42910,50070,66740,0.1669,-0.0229,flat,
21-1015,Rehabilitation Counselors,30610,38770,94740,0.2666,0.0606,up,
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",38520,47100,491930,0.2227,0.0239,flat,
21-1019,"Counselors, All Other",37060,43680,28580,0.1786,-0.0130,flat,
21-1021,"Child, Family, and School Social Workers",38900,48270,392550,0.2409,0.0391,up,
21-1022,Healthcare Social Workers,47630,56710,187630,0.1906,-0.0030,flat,
21-1023,Mental Health and Substance Abuse Social Workers,38630,47070,132810,0.2185,0.0204,flat,
21-1029,"Social Workers, All Other",46340,51900,62930,0.1200,-0.0621,down,
21-1091,Health Education Specialists,46770,50620,65690,0.0823,-0.0937,down,
21-1092,Probation Officers and Correctional Treatment Specialists,46920,54250,89390,0.1562,-0.0318,down,
21-1093,Social and Human Service Assistants,30440,38150,437860,0.2533,0.0495,up,
21-1094,Community Health Workers,36940,45640,61660,0.2355,0.0346,up,
21-1099,"Community and Social Service Specialists, All Other",37170,45920,107730,0.2354,0.0345,up,
21-2011,Clergy,38800,48260,57200,0.2438,0.0416,up,
21-2021,"Directors, Religious Activities and Education",36440,44010,22160,0.2077,0.0114,flat,
21-2099,"Religious Workers, All Other",29170,35310,15760,0.2105,0.0137,flat,
23-1011,Lawyers,81620,102990,754500,0.2618,0.0567,up,
23-1012,Judicial Law Clerks,43580,52870,13290,0.2132,0.0159,flat,
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",63850,81140,16370,0.2708,0.0642,up,
23-1022,"Arbitrators, Mediators, and Conciliators",36910,57360,9210,0.5541,0.3014,up,"volatile: likely sampling artifact, consider suppressing"
23-1023,"Judges, Magistrate Judges, and Magistrates",81150,85710,24030,0.0562,-0.1155,down,
23-2011,Paralegals and Legal Assistants,45390,50340,392880,0.1091,-0.0713,down,
23-2093,"Title Examiners, Abstractors, and Searchers",37240,47420,48580,0.2734,0.0663,up,
23-2099,"Legal Support Workers, All Other",46070,54940,46760,0.1925,-0.0014,flat,
